1	5	1	
1	6	1	
1	7	1	
1	8	1	
1	23	1	
1	32	1	
1	43	1	
1	44	1	
2	5	1	
2	6	1	
2	7	1	
2	8	1	
2	9	1	
2	10	1	
2	12	1	
2	14	1	
2	16	1	
2	17	1	
2	18	1	
2	22	1	
2	24	1	
2	27	1	
2	35	1	
2	36	1	
2	37	1	
2	45	1	
2	48	1	
3	5	1	
3	6	1	
3	7	1	
3	15	1	
3	21	1	
3	23	1	
3	25	1	
3	26	1	
3	28	1	
3	29	1	
3	30	1	
4	5	1	
4	8	1	
4	10	1	
4	20	1	
4	21	1	
4	23	1	
4	25	1	
4	41	1	
5	1	1	
5	2	1	
5	3	1	
5	4	1	
5	6	1	
5	7	1	
5	8	1	
5	9	1	
5	11	1	
5	13	1	
5	17	1	
5	18	1	
5	19	1	
5	26	1	
5	29	1	
5	30	1	
5	33	1	
5	34	1	
5	36	1	
5	39	1	
5	42	1	
5	44	1	
5	46	1	
6	1	1	
6	2	1	
6	3	1	
6	5	1	
6	10	1	
6	11	1	
6	12	1	
6	13	1	
6	14	1	
6	16	1	
6	19	1	
6	21	1	
6	25	1	
6	31	1	
6	38	1	
6	42	1	
6	46	1	
6	48	1	
7	1	1	
7	2	1	
7	3	1	
7	5	1	
7	9	1	
7	11	1	
7	13	1	
7	30	1	
7	39	1	
7	48	1	
8	1	1	
8	2	1	
8	4	1	
8	5	1	
8	9	1	
8	11	1	
8	17	1	
8	18	1	
8	20	1	
8	27	1	
8	28	1	
8	34	1	
8	37	1	
8	47	1	
9	2	1	
9	5	1	
9	7	1	
9	8	1	
9	10	1	
9	12	1	
9	14	1	
9	15	1	
9	29	1	
9	32	1	
9	33	1	
9	34	1	
9	35	1	
9	36	1	
9	43	1	
9	44	1	
9	50	1	
10	2	1	
10	4	1	
10	6	1	
10	9	1	
10	15	1	
10	16	1	
10	18	1	
10	19	1	
10	22	1	
10	24	1	
10	25	1	
10	26	1	
10	32	1	
10	33	1	
10	38	1	
10	41	1	
10	50	1	
11	5	1	
11	6	1	
11	7	1	
11	8	1	
11	12	1	
11	13	1	
11	14	1	
11	16	1	
11	19	1	
11	20	1	
11	22	1	
11	26	1	
11	33	1	
11	40	1	
11	45	1	
11	46	1	
12	2	1	
12	6	1	
12	9	1	
12	11	1	
12	15	1	
12	30	1	
12	47	1	
13	5	1	
13	6	1	
13	7	1	
13	11	1	
13	23	1	
13	27	1	
13	31	1	
13	49	1	
14	2	1	
14	6	1	
14	9	1	
14	11	1	
14	22	1	
14	24	1	
14	27	1	
14	41	1	
14	42	1	
14	45	1	
15	3	1	
15	9	1	
15	10	1	
15	12	1	
16	2	1	
16	6	1	
16	10	1	
16	11	1	
16	17	1	
16	37	1	
16	46	1	
17	2	1	
17	5	1	
17	8	1	
17	16	1	
17	20	1	
17	21	1	
17	24	1	
17	35	1	
17	49	1	
18	2	1	
18	5	1	
18	8	1	
18	10	1	
18	31	1	
18	32	1	
19	5	1	
19	6	1	
19	10	1	
19	11	1	
19	38	1	
19	43	1	
19	47	1	
20	4	1	
20	8	1	
20	11	1	
20	17	1	
21	3	1	
21	4	1	
21	6	1	
21	17	1	
21	28	1	
21	43	1	
22	2	1	
22	10	1	
22	11	1	
22	14	1	
22	29	1	
22	37	1	
22	41	1	
23	1	1	
23	3	1	
23	4	1	
23	13	1	
23	28	1	
23	40	1	
24	2	1	
24	10	1	
24	14	1	
24	17	1	
24	40	1	
24	49	1	
25	3	1	
25	4	1	
25	6	1	
25	10	1	
25	31	1	
25	39	1	
26	3	1	
26	5	1	
26	10	1	
26	11	1	
26	35	1	
26	42	1	
27	2	1	
27	8	1	
27	13	1	
27	14	1	
27	45	1	
28	3	1	
28	8	1	
28	21	1	
28	23	1	
29	3	1	
29	5	1	
29	9	1	
29	22	1	
29	34	1	
29	49	1	
30	3	1	
30	5	1	
30	7	1	
30	12	1	
30	39	1	
30	47	1	
31	6	1	
31	13	1	
31	18	1	
31	25	1	
32	1	1	
32	9	1	
32	10	1	
32	18	1	
32	36	1	
33	5	1	
33	9	1	
33	10	1	
33	11	1	
34	5	1	
34	8	1	
34	9	1	
34	29	1	
34	40	1	
35	2	1	
35	9	1	
35	17	1	
35	26	1	
36	2	1	
36	5	1	
36	9	1	
36	32	1	
36	38	1	
36	48	1	
37	2	1	
37	8	1	
37	16	1	
37	22	1	
37	50	1	
38	6	1	
38	10	1	
38	19	1	
38	36	1	
39	5	1	
39	7	1	
39	25	1	
39	30	1	
40	11	1	
40	23	1	
40	24	1	
40	34	1	
40	44	1	
40	50	1	
41	4	1	
41	10	1	
41	14	1	
41	22	1	
42	5	1	
42	6	1	
42	14	1	
42	26	1	
43	1	1	
43	9	1	
43	19	1	
43	21	1	
44	1	1	
44	5	1	
44	9	1	
44	40	1	
45	2	1	
45	11	1	
45	14	1	
45	27	1	
46	5	1	
46	6	1	
46	11	1	
46	16	1	
47	8	1	
47	12	1	
47	19	1	
47	30	1	
48	2	1	
48	6	1	
48	7	1	
48	36	1	
49	13	1	
49	17	1	
49	24	1	
49	29	1	
50	9	1	
50	10	1	
50	37	1	
50	40	1	
